SDS 2.3 RQ Results	1.2
Filename	98A.sdm
Assay Type	RQ Study
EmbeddedFile	B05-14597-A
Run DateTime	Sun Apr 19 14:17:09 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B05-14597-A	Endogenous Control	20.826					false	0/4	false				
2	Analyzed	RNU44-4373384	B05-14597-A	Target	24.874	4.048		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B05-14597-A	Target	23.129	2.303		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B05-14597-A	Target	40.000	19.174				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B05-14597-A	Target	37.757	16.931		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B05-14597-A	Target	27.100	6.274		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B05-14597-A	Target	24.709	3.883		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B05-14597-A	Target	28.477	7.651		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B05-14597-A	Target	27.424	6.598		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B05-14597-A	Target	24.429	3.603		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B05-14597-A	Target	30.471	9.645		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B05-14597-A	Target	26.050	5.224		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B05-14597-A	Target	35.036	14.210		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B05-14597-A	Target	25.508	4.682		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B05-14597-A	Target	32.569	11.742		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B05-14597-A	Target	27.984	7.158		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B05-14597-A	Target	40.000	19.174				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B05-14597-A	Target	23.686	2.860		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B05-14597-A	Target	27.174	6.348		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B05-14597-A	Target	40.000	19.174				false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B05-14597-A	Target	26.969	6.143		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B05-14597-A	Target	31.695	10.869		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B05-14597-A	Target	40.000	19.174				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B05-14597-A	Target	31.251	10.425		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B05-14597-A	Target	34.977	14.151		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B05-14597-A	Target	27.860	7.034		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B05-14597-A	Target	25.826	5.000		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B05-14597-A	Target	22.887	2.061		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B05-14597-A	Target	27.731	6.905		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	B05-14597-A	Target	40.000	19.174				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	B05-14597-A	Target	32.481	11.655		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	B05-14597-A	Target	40.000	19.174				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	B05-14597-A	Target	40.000	19.174				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	B05-14597-A	Target	28.736	7.910		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	B05-14597-A	Target	30.907	10.080		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	B05-14597-A	Target	26.704	5.877		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	B05-14597-A	Target	30.923	10.096		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	B05-14597-A	Target	34.634	13.807		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	B05-14597-A	Target	33.475	12.649		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	B05-14597-A	Target	34.078	13.251		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	B05-14597-A	Target	27.691	6.865		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	B05-14597-A	Target	40.000	19.174				false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	B05-14597-A	Target	40.000	19.174				false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	B05-14597-A	Target	29.797	8.971		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	B05-14597-A	Target	40.000	19.174				false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	B05-14597-A	Target	29.849	9.023		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	B05-14597-A	Target	30.597	9.771		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	B05-14597-A	Target	26.587	5.761		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	B05-14597-A	Target	25.673	4.846		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	B05-14597-A	Target	26.940	6.114		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	B05-14597-A	Target	32.320	11.493		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	B05-14597-A	Target	25.290	4.464		0.000	1.000	false	0/1	false				
53	Analyzed	hsa-miR-145-4395389	B05-14597-A	Target	22.716	1.890		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	B05-14597-A	Target	23.370	2.543		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	B05-14597-A	Target	35.821	14.995		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	B05-14597-A	Target	24.858	4.032		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	B05-14597-A	Target	40.000	19.174				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	B05-14597-A	Target	36.273	15.447		0.000	1.000	false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	B05-14597-A	Target	27.861	7.034		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	B05-14597-A	Target	32.151	11.324		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	B05-14597-A	Target	30.659	9.833		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	B05-14597-A	Target	24.828	4.002		0.000	1.000	false	0/1	false				
