SDS 2.3 RQ Results	1.2
Filename	99A.sdm
Assay Type	RQ Study
EmbeddedFile	B05-11532-A
Run DateTime	Mon Apr 20 08:13:35 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B05-11532-A	Endogenous Control	20.778					false	0/4	false				
2	Analyzed	RNU44-4373384	B05-11532-A	Target	25.094	4.316		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B05-11532-A	Target	23.033	2.255		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B05-11532-A	Target	40.000	19.222				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B05-11532-A	Target	40.000	19.222				false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B05-11532-A	Target	26.525	5.747		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B05-11532-A	Target	24.232	3.454		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B05-11532-A	Target	27.968	7.191		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B05-11532-A	Target	26.545	5.767		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B05-11532-A	Target	24.229	3.451		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B05-11532-A	Target	30.518	9.741		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B05-11532-A	Target	25.967	5.189		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B05-11532-A	Target	33.656	12.878		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B05-11532-A	Target	25.363	4.585		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B05-11532-A	Target	32.222	11.444		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B05-11532-A	Target	27.033	6.255		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B05-11532-A	Target	32.741	11.963		0.000	1.000	false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B05-11532-A	Target	22.962	2.184		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B05-11532-A	Target	27.392	6.614		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B05-11532-A	Target	35.449	14.671		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B05-11532-A	Target	26.072	5.294		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B05-11532-A	Target	29.779	9.001		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B05-11532-A	Target	40.000	19.222				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B05-11532-A	Target	34.930	14.152		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B05-11532-A	Target	34.013	13.236		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B05-11532-A	Target	27.857	7.079		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B05-11532-A	Target	26.124	5.346		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B05-11532-A	Target	20.902	0.124		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B05-11532-A	Target	29.745	8.967		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	B05-11532-A	Target	40.000	19.222				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	B05-11532-A	Target	31.206	10.428		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	B05-11532-A	Target	40.000	19.222				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	B05-11532-A	Target	40.000	19.222				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	B05-11532-A	Target	27.422	6.644		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	B05-11532-A	Target	30.389	9.611		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	B05-11532-A	Target	27.175	6.397		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	B05-11532-A	Target	30.002	9.224		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	B05-11532-A	Target	33.416	12.638		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	B05-11532-A	Target	34.492	13.714		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	B05-11532-A	Target	32.836	12.058		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	B05-11532-A	Target	29.147	8.369		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	B05-11532-A	Target	40.000	19.222				false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	B05-11532-A	Target	40.000	19.222				false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	B05-11532-A	Target	27.621	6.843		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	B05-11532-A	Target	40.000	19.222				false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	B05-11532-A	Target	28.028	7.250		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	B05-11532-A	Target	29.667	8.889		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	B05-11532-A	Target	26.144	5.366		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	B05-11532-A	Target	25.465	4.687		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	B05-11532-A	Target	26.326	5.548		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	B05-11532-A	Target	32.306	11.528		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	B05-11532-A	Target	25.678	4.901		0.000	1.000	false	0/1	false				
53	Analyzed	hsa-miR-145-4395389	B05-11532-A	Target	22.430	1.652		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	B05-11532-A	Target	22.438	1.660		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	B05-11532-A	Target	32.755	11.977		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	B05-11532-A	Target	23.839	3.061		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	B05-11532-A	Target	39.540	18.762		0.000	1.000	false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	B05-11532-A	Target	40.000	19.222				false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	B05-11532-A	Target	28.725	7.947		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	B05-11532-A	Target	31.620	10.842		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	B05-11532-A	Target	32.392	11.614		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	B05-11532-A	Target	23.551	2.773		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	B05-11532-A	Target	28.727	7.949		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	B05-11532-A	Target	40.000	19.222				false	0/1	false				
