SDS 2.3 RQ Results	1.2
Filename	109A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-18281-A
Run DateTime	Wed Apr 29 10:27:30 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B04-18281-A	Endogenous Control	20.970					false	0/4	false				
2	Analyzed	RNU44-4373384	B04-18281-A	Target	24.035	3.066		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B04-18281-A	Target	22.963	1.994		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B04-18281-A	Target	40.000	19.030				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B04-18281-A	Target	37.142	16.172		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B04-18281-A	Target	26.522	5.553		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B04-18281-A	Target	23.612	2.643		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B04-18281-A	Target	28.723	7.754		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B04-18281-A	Target	26.597	5.627		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B04-18281-A	Target	24.144	3.174		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B04-18281-A	Target	29.889	8.919		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B04-18281-A	Target	25.251	4.281		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B04-18281-A	Target	37.274	16.305		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B04-18281-A	Target	24.320	3.350		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B04-18281-A	Target	30.884	9.914		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B04-18281-A	Target	27.285	6.316		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B04-18281-A	Target	40.000	19.030				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B04-18281-A	Target	22.079	1.109		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B04-18281-A	Target	26.187	5.218		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B04-18281-A	Target	33.807	12.837		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B04-18281-A	Target	27.940	6.970		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B04-18281-A	Target	33.034	12.064		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B04-18281-A	Target	40.000	19.030				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B04-18281-A	Target	33.028	12.059		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B04-18281-A	Target	33.658	12.688		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B04-18281-A	Target	27.723	6.754		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B04-18281-A	Target	25.378	4.408		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B04-18281-A	Target	22.374	1.404		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B04-18281-A	Target	28.591	7.621		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	B04-18281-A	Target	40.000	19.030				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	B04-18281-A	Target	30.806	9.836		0.000	1.000	false	0/1	false				
