SDS 2.3 RQ Results	1.2
Filename	114A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-27064-A
Run DateTime	Sun May 24 15:57:57 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B04-27064-A	Endogenous Control	19.711					false	0/4	false				
2	Analyzed	RNU44-4373384	B04-27064-A	Target	24.056	4.346		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B04-27064-A	Target	23.561	3.850		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B04-27064-A	Target	40.000	20.289				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B04-27064-A	Target	40.000	20.289				false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B04-27064-A	Target	27.455	7.744		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B04-27064-A	Target	26.434	6.723		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B04-27064-A	Target	31.929	12.218		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B04-27064-A	Target	28.104	8.393		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B04-27064-A	Target	24.817	5.106		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B04-27064-A	Target	31.069	11.358		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B04-27064-A	Target	26.671	6.960		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B04-27064-A	Target	36.418	16.707		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B04-27064-A	Target	27.806	8.095		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B04-27064-A	Target	32.157	12.446		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B04-27064-A	Target	26.934	7.223		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B04-27064-A	Target	32.326	12.616		0.000	1.000	false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B04-27064-A	Target	21.269	1.559		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B04-27064-A	Target	26.100	6.389		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B04-27064-A	Target	32.769	13.058		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B04-27064-A	Target	26.020	6.309		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B04-27064-A	Target	26.964	7.253		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B04-27064-A	Target	34.461	14.751		0.000	1.000	false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B04-27064-A	Target	31.392	11.681		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B04-27064-A	Target	34.743	15.032		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B04-27064-A	Target	27.766	8.055		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B04-27064-A	Target	28.016	8.306		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B04-27064-A	Target	23.821	4.110		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B04-27064-A	Target	31.398	11.687		0.000	1.000	false	0/1	false				
