SDS 2.3 RQ Results	1.2
Filename	119A.sdm
Assay Type	RQ Study
EmbeddedFile	B06-7144-A
Run DateTime	Wed May 27 13:58:26 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B06-7144-A	Endogenous Control	19.929					false	0/4	false				
2	Analyzed	RNU44-4373384	B06-7144-A	Target	21.923	1.994		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B06-7144-A	Target	20.960	1.031		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B06-7144-A	Target	40.000	20.071				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B06-7144-A	Target	40.000	20.071				false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B06-7144-A	Target	26.184	6.255		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B06-7144-A	Target	24.618	4.689		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B06-7144-A	Target	29.116	9.187		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B06-7144-A	Target	26.772	6.843		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B06-7144-A	Target	23.556	3.627		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B06-7144-A	Target	29.650	9.721		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B06-7144-A	Target	25.743	5.814		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B06-7144-A	Target	34.383	14.454		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B06-7144-A	Target	24.266	4.337		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B06-7144-A	Target	32.657	12.728		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B06-7144-A	Target	27.883	7.954		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B06-7144-A	Target	40.000	20.071				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B06-7144-A	Target	22.991	3.062		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B06-7144-A	Target	27.325	7.396		0.000	1.000	false	0/1	false				
