SDS 2.3 RQ Results	1.2
Filename	137A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-137-A
Run DateTime	Sun Jul 11 13:16:44 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	CNMP-137-A	Endogenous Control	20.252					false	0/4	false				
2	Analyzed	RNU44-4373384	CNMP-137-A	Target	24.263	4.012		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	CNMP-137-A	Target	23.815	3.563		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	CNMP-137-A	Target	40.000	19.748				false	0/1	false				
5	Analyzed	has-miR-155-4395459	CNMP-137-A	Target	26.351	6.100		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	CNMP-137-A	Target	29.544	9.292		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	CNMP-137-A	Target	26.051	5.799		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	CNMP-137-A	Target	29.948	9.696		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	CNMP-137-A	Target	27.989	7.738		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	CNMP-137-A	Target	25.948	5.696		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	CNMP-137-A	Target	33.284	13.033		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	CNMP-137-A	Target	26.806	6.554		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	CNMP-137-A	Target	40.000	19.748				false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	CNMP-137-A	Target	25.904	5.653		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	CNMP-137-A	Target	34.667	14.416		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	CNMP-137-A	Target	28.903	8.652		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	CNMP-137-A	Target	34.266	14.014		0.000	1.000	false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	CNMP-137-A	Target	24.053	3.801		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	CNMP-137-A	Target	28.736	8.485		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	CNMP-137-A	Target	33.493	13.241		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	CNMP-137-A	Target	28.984	8.733		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	CNMP-137-A	Target	34.705	14.453		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	CNMP-137-A	Target	40.000	19.748				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	CNMP-137-A	Target	29.522	9.271		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	CNMP-137-A	Target	32.870	12.618		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	CNMP-137-A	Target	28.573	8.321		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	CNMP-137-A	Target	26.985	6.734		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	CNMP-137-A	Target	23.750	3.498		0.000	1.000	false	0/1	false				
