SDS 2.3 RQ Results	1.2
Filename	140A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-140-A
Run DateTime	Mon Jul 12 09:45:24 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	CNMP-140-A	Endogenous Control	19.249					false	0/4	false				
2	Analyzed	RNU44-4373384	CNMP-140-A	Target	25.131	5.882		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	CNMP-140-A	Target	22.604	3.354		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
5	Analyzed	has-miR-155-4395459	CNMP-140-A	Target	26.503	7.253		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	CNMP-140-A	Target	28.342	9.092		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	CNMP-140-A	Target	24.870	5.620		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	CNMP-140-A	Target	28.747	9.497		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	CNMP-140-A	Target	27.014	7.764		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	CNMP-140-A	Target	25.000	5.751		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	CNMP-140-A	Target	35.183	15.934		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	CNMP-140-A	Target	26.647	7.398		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	CNMP-140-A	Target	35.167	15.917		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	CNMP-140-A	Target	25.426	6.176		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	CNMP-140-A	Target	33.599	14.349		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	CNMP-140-A	Target	28.653	9.404		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	CNMP-140-A	Target	24.516	5.266		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	CNMP-140-A	Target	29.653	10.404		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	CNMP-140-A	Target	34.906	15.657		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	CNMP-140-A	Target	28.513	9.264		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	CNMP-140-A	Target	36.696	17.446		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	CNMP-140-A	Target	32.354	13.104		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	CNMP-140-A	Target	33.836	14.587		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	CNMP-140-A	Target	27.063	7.813		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	CNMP-140-A	Target	26.281	7.032		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	CNMP-140-A	Target	21.444	2.195		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	CNMP-140-A	Target	28.996	9.747		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	CNMP-140-A	Target	33.031	13.781		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	CNMP-140-A	Target	29.754	10.504		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	CNMP-140-A	Target	33.024	13.774		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	CNMP-140-A	Target	27.721	8.472		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	CNMP-140-A	Target	29.290	10.040		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	CNMP-140-A	Target	32.988	13.739		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	CNMP-140-A	Target	33.404	14.154		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	CNMP-140-A	Target	30.343	11.094		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	CNMP-140-A	Target	26.427	7.178		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	CNMP-140-A	Target	39.572	20.323		0.000	1.000	false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	CNMP-140-A	Target	27.205	7.956		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	CNMP-140-A	Target	29.079	9.830		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	CNMP-140-A	Target	27.427	8.178		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	CNMP-140-A	Target	28.918	9.669		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	CNMP-140-A	Target	29.229	9.979		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	CNMP-140-A	Target	36.325	17.076		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	CNMP-140-A	Target	26.114	6.864		0.000	1.000	false	0/1	false				
