SDS 2.3 RQ Results	1.2
Filename	148A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-148-A
Run DateTime	Tue Jul 20 13:56:08 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	CNMP-148-A	Endogenous Control	20.169					false	0/4	false				
2	Analyzed	RNU44-4373384	CNMP-148-A	Target	25.052	4.883		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	CNMP-148-A	Target	23.808	3.639		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	CNMP-148-A	Target	40.000	19.831				false	0/1	false				
5	Analyzed	has-miR-155-4395459	CNMP-148-A	Target	26.596	6.428		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	CNMP-148-A	Target	28.678	8.509		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	CNMP-148-A	Target	26.168	5.999		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	CNMP-148-A	Target	29.576	9.408		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	CNMP-148-A	Target	28.146	7.977		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	CNMP-148-A	Target	25.619	5.450		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	CNMP-148-A	Target	33.879	13.710		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	CNMP-148-A	Target	26.519	6.350		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	CNMP-148-A	Target	37.869	17.700		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	CNMP-148-A	Target	26.408	6.239		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	CNMP-148-A	Target	33.603	13.434		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	CNMP-148-A	Target	29.159	8.990		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	CNMP-148-A	Target	40.000	19.831				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	CNMP-148-A	Target	24.788	4.620		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	CNMP-148-A	Target	29.106	8.937		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	CNMP-148-A	Target	36.575	16.406		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	CNMP-148-A	Target	28.075	7.907		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	CNMP-148-A	Target	36.965	16.796		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	CNMP-148-A	Target	40.000	19.831				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	CNMP-148-A	Target	30.596	10.427		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	CNMP-148-A	Target	40.000	19.831				false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	CNMP-148-A	Target	28.528	8.359		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	CNMP-148-A	Target	27.396	7.227		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	CNMP-148-A	Target	22.326	2.158		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	CNMP-148-A	Target	30.983	10.814		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	CNMP-148-A	Target	40.000	19.831				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	CNMP-148-A	Target	33.786	13.617		0.000	1.000	false	0/1	false				
