SDS 2.3 RQ Results	1.2
Filename	149A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-149-A
Run DateTime	Mon Sep 06 08:42:30 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	CNMP-149-A	Endogenous Control	19.851					false	0/4	false				
2	Analyzed	RNU44-4373384	CNMP-149-A	Target	25.047	5.196		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	CNMP-149-A	Target	23.138	3.287		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
5	Analyzed	has-miR-155-4395459	CNMP-149-A	Target	25.893	6.042		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	CNMP-149-A	Target	29.096	9.245		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	CNMP-149-A	Target	25.293	5.442		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	CNMP-149-A	Target	28.985	9.134		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	CNMP-149-A	Target	27.969	8.118		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	CNMP-149-A	Target	25.637	5.786		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	CNMP-149-A	Target	33.746	13.895		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	CNMP-149-A	Target	26.537	6.686		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	CNMP-149-A	Target	39.237	19.386		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	CNMP-149-A	Target	25.426	5.575		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	CNMP-149-A	Target	33.450	13.599		0.000	1.000	false	0/1	false				
