SDS 2.3 RQ Results	1.2
Filename	97A.sdm
Assay Type	RQ Study
EmbeddedFile	B05-15062-A
Run DateTime	Sun Apr 19 08:21:32 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B05-15062-A	Endogenous Control	21.328					false	0/4	false				
2	Analyzed	RNU44-4373384	B05-15062-A	Target	25.019	3.691		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B05-15062-A	Target	23.329	2.001		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B05-15062-A	Target	40.000	18.672				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B05-15062-A	Target	40.000	18.672				false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B05-15062-A	Target	27.748	6.420		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B05-15062-A	Target	24.266	2.938		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B05-15062-A	Target	28.832	7.504		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B05-15062-A	Target	27.604	6.276		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B05-15062-A	Target	25.228	3.900		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B05-15062-A	Target	31.063	9.735		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B05-15062-A	Target	26.535	5.207		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B05-15062-A	Target	33.663	12.335		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B05-15062-A	Target	24.429	3.101		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B05-15062-A	Target	31.340	10.012		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B05-15062-A	Target	28.282	6.954		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B05-15062-A	Target	33.756	12.428		0.000	1.000	false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B05-15062-A	Target	24.064	2.736		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B05-15062-A	Target	27.083	5.755		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B05-15062-A	Target	36.693	15.365		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B05-15062-A	Target	27.475	6.147		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B05-15062-A	Target	29.942	8.613		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B05-15062-A	Target	40.000	18.672				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B05-15062-A	Target	34.030	12.702		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B05-15062-A	Target	33.835	12.507		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B05-15062-A	Target	27.938	6.610		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B05-15062-A	Target	25.440	4.112		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B05-15062-A	Target	22.356	1.028		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B05-15062-A	Target	27.407	6.078		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	B05-15062-A	Target	40.000	18.672				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	B05-15062-A	Target	31.255	9.927		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	B05-15062-A	Target	40.000	18.672				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	B05-15062-A	Target	40.000	18.672				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	B05-15062-A	Target	28.723	7.395		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	B05-15062-A	Target	29.768	8.439		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	B05-15062-A	Target	26.204	4.876		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	B05-15062-A	Target	31.399	10.071		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	B05-15062-A	Target	36.143	14.815		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	B05-15062-A	Target	32.375	11.047		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	B05-15062-A	Target	33.246	11.918		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	B05-15062-A	Target	27.725	6.397		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	B05-15062-A	Target	36.168	14.840		0.000	1.000	false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	B05-15062-A	Target	40.000	18.672				false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	B05-15062-A	Target	28.053	6.725		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	B05-15062-A	Target	40.000	18.672				false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	B05-15062-A	Target	29.806	8.478		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	B05-15062-A	Target	30.471	9.143		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	B05-15062-A	Target	25.945	4.617		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	B05-15062-A	Target	26.804	5.476		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	B05-15062-A	Target	25.387	4.059		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	B05-15062-A	Target	30.975	9.647		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	B05-15062-A	Target	26.149	4.821		0.000	1.000	false	0/1	false				
53	Analyzed	hsa-miR-145-4395389	B05-15062-A	Target	23.397	2.069		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	B05-15062-A	Target	23.040	1.712		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	B05-15062-A	Target	32.305	10.977		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	B05-15062-A	Target	24.374	3.046		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	B05-15062-A	Target	40.000	18.672				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	B05-15062-A	Target	39.628	18.300		0.000	1.000	false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	B05-15062-A	Target	27.324	5.996		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	B05-15062-A	Target	31.556	10.228		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	B05-15062-A	Target	30.080	8.752		0.000	1.000	false	0/1	false				
