SDS 2.3 RQ Results	1.2
Filename	110A.sdm
Assay Type	RQ Study
EmbeddedFile	B06-303-A
Run DateTime	Mon May 11 11:45:13 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B06-303-A	Endogenous Control	20.115					false	0/4	false				
2	Analyzed	RNU44-4373384	B06-303-A	Target	25.964	5.849		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B06-303-A	Target	23.195	3.080		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B06-303-A	Target	40.000	19.885				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B06-303-A	Target	40.000	19.885				false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B06-303-A	Target	29.230	9.115		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B06-303-A	Target	25.875	5.760		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B06-303-A	Target	29.761	9.646		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B06-303-A	Target	29.201	9.086		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B06-303-A	Target	26.726	6.612		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B06-303-A	Target	34.168	14.053		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B06-303-A	Target	27.744	7.630		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B06-303-A	Target	37.223	17.109		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B06-303-A	Target	26.173	6.058		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B06-303-A	Target	33.526	13.411		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B06-303-A	Target	29.320	9.205		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B06-303-A	Target	36.586	16.472		0.000	1.000	false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B06-303-A	Target	24.533	4.418		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B06-303-A	Target	27.614	7.499		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B06-303-A	Target	40.000	19.885				false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B06-303-A	Target	28.956	8.841		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B06-303-A	Target	31.091	10.976		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B06-303-A	Target	40.000	19.885				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B06-303-A	Target	27.157	7.043		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B06-303-A	Target	33.437	13.323		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B06-303-A	Target	29.937	9.822		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B06-303-A	Target	26.530	6.415		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B06-303-A	Target	23.658	3.543		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B06-303-A	Target	29.122	9.007		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	B06-303-A	Target	40.000	19.885				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	B06-303-A	Target	32.573	12.458		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	B06-303-A	Target	40.000	19.885				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	B06-303-A	Target	40.000	19.885				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	B06-303-A	Target	30.874	10.759		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	B06-303-A	Target	29.978	9.863		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	B06-303-A	Target	28.775	8.661		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	B06-303-A	Target	32.167	12.052		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	B06-303-A	Target	34.976	14.861		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	B06-303-A	Target	34.700	14.585		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	B06-303-A	Target	36.877	16.763		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	B06-303-A	Target	29.455	9.340		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	B06-303-A	Target	40.000	19.885				false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	B06-303-A	Target	40.000	19.885				false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	B06-303-A	Target	29.512	9.397		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	B06-303-A	Target	40.000	19.885				false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	B06-303-A	Target	30.320	10.205		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	B06-303-A	Target	30.602	10.487		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	B06-303-A	Target	27.266	7.151		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	B06-303-A	Target	27.810	7.695		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	B06-303-A	Target	27.122	7.007		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	B06-303-A	Target	33.472	13.357		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	B06-303-A	Target	26.939	6.824		0.000	1.000	false	0/1	false				
53	Analyzed	hsa-miR-145-4395389	B06-303-A	Target	24.144	4.030		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	B06-303-A	Target	24.426	4.311		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	B06-303-A	Target	32.803	12.689		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	B06-303-A	Target	25.763	5.648		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	B06-303-A	Target	40.000	19.885				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	B06-303-A	Target	35.429	15.315		0.000	1.000	false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	B06-303-A	Target	28.956	8.841		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	B06-303-A	Target	34.062	13.947		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	B06-303-A	Target	28.199	8.084		0.000	1.000	false	0/1	false				
