SDS 2.3 RQ Results	1.2
Filename	123A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-24322-A
Run DateTime	Mon Jun 01 12:19:04 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	b04-24322-A	Endogenous Control	20.690					false	0/4	false				
2	Analyzed	RNU44-4373384	b04-24322-A	Target	25.573	4.883		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	b04-24322-A	Target	23.850	3.160		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	b04-24322-A	Target	40.000	19.310				false	0/1	false				
5	Analyzed	has-miR-155-4395459	b04-24322-A	Target	40.000	19.310				false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	b04-24322-A	Target	27.954	7.264		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	b04-24322-A	Target	24.987	4.297		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	b04-24322-A	Target	29.641	8.951		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	b04-24322-A	Target	26.975	6.284		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	b04-24322-A	Target	24.681	3.991		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	b04-24322-A	Target	31.567	10.876		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	b04-24322-A	Target	26.419	5.729		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	b04-24322-A	Target	34.276	13.586		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	b04-24322-A	Target	26.897	6.207		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	b04-24322-A	Target	31.231	10.541		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	b04-24322-A	Target	28.205	7.514		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	b04-24322-A	Target	36.180	15.490		0.000	1.000	false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	b04-24322-A	Target	23.278	2.588		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	b04-24322-A	Target	26.799	6.109		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	b04-24322-A	Target	33.951	13.261		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	b04-24322-A	Target	28.391	7.701		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	b04-24322-A	Target	32.056	11.366		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	b04-24322-A	Target	40.000	19.310				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	b04-24322-A	Target	29.125	8.435		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	b04-24322-A	Target	34.038	13.348		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	b04-24322-A	Target	28.743	8.053		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	b04-24322-A	Target	26.974	6.284		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	b04-24322-A	Target	23.515	2.825		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	b04-24322-A	Target	28.972	8.282		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	b04-24322-A	Target	40.000	19.310				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	b04-24322-A	Target	29.933	9.243		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	b04-24322-A	Target	40.000	19.310				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	b04-24322-A	Target	40.000	19.310				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	b04-24322-A	Target	30.142	9.452		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	b04-24322-A	Target	30.157	9.466		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	b04-24322-A	Target	27.355	6.665		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	b04-24322-A	Target	33.323	12.633		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	b04-24322-A	Target	40.000	19.310				false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	b04-24322-A	Target	34.239	13.549		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	b04-24322-A	Target	33.481	12.790		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	b04-24322-A	Target	30.799	10.109		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	b04-24322-A	Target	40.000	19.310				false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	b04-24322-A	Target	40.000	19.310				false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	b04-24322-A	Target	27.928	7.238		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	b04-24322-A	Target	40.000	19.310				false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	b04-24322-A	Target	32.241	11.551		0.000	1.000	false	0/1	false				
47	Analyzed	hsa-miR-140-3p-4395345	b04-24322-A	Target	31.813	11.122		0.000	1.000	false	0/1	false				
48	Analyzed	hsa-miR-140-5p-4373374	b04-24322-A	Target	27.768	7.078		0.000	1.000	false	0/1	false				
49	Analyzed	hsa-miR-141-4373137	b04-24322-A	Target	27.685	6.995		0.000	1.000	false	0/1	false				
50	Analyzed	hsa-miR-142-3p-4373136	b04-24322-A	Target	28.227	7.537		0.000	1.000	false	0/1	false				
51	Analyzed	hsa-miR-142-5p-4395359	b04-24322-A	Target	34.738	14.048		0.000	1.000	false	0/1	false				
52	Analyzed	hsa-miR-143-4395360	b04-24322-A	Target	26.920	6.230		0.000	1.000	false	0/1	false				
53	Analyzed	hsa-miR-145-4395389	b04-24322-A	Target	24.642	3.951		0.000	1.000	false	0/1	false				
54	Analyzed	hsa-miR-146a-4373132	b04-24322-A	Target	24.707	4.017		0.000	1.000	false	0/1	false				
55	Analyzed	hsa-miR-146b-3p-4395472	b04-24322-A	Target	35.894	15.204		0.000	1.000	false	0/1	false				
56	Analyzed	hsa-miR-146b-5p-4373178	b04-24322-A	Target	25.622	4.932		0.000	1.000	false	0/1	false				
57	Analyzed	hsa-miR-147-4373131	b04-24322-A	Target	40.000	19.310				false	0/1	false				
58	Analyzed	hsa-miR-147b-4395373	b04-24322-A	Target	40.000	19.310				false	0/1	false				
59	Analyzed	hsa-miR-148a-4373130	b04-24322-A	Target	29.413	8.723		0.000	1.000	false	0/1	false				
60	Analyzed	hsa-miR-148b-4373129	b04-24322-A	Target	30.826	10.135		0.000	1.000	false	0/1	false				
61	Analyzed	hsa-miR-149-4395366	b04-24322-A	Target	25.303	4.613		0.000	1.000	false	0/1	false				
62	Analyzed	hsa-miR-150-4373127	b04-24322-A	Target	25.900	5.210		0.000	1.000	false	0/1	false				
63	Analyzed	hsa-miR-152-4395170	b04-24322-A	Target	28.202	7.512		0.000	1.000	false	0/1	false				
64	Analyzed	hsa-miR-153-4373305	b04-24322-A	Target	40.000	19.310				false	0/1	false				
