SDS 2.3 RQ Results	1.2
Filename	132A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-19416-A
Run DateTime	Wed Jul 29 18:19:04 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	B04-19416-A	Endogenous Control	20.336					false	0/4	false				
2	Analyzed	RNU44-4373384	B04-19416-A	Target	25.123	4.787		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	B04-19416-A	Target	22.405	2.070		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	B04-19416-A	Target	40.000	19.664				false	0/1	false				
5	Analyzed	has-miR-155-4395459	B04-19416-A	Target	40.000	19.664				false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	B04-19416-A	Target	28.375	8.039		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	B04-19416-A	Target	25.121	4.786		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	B04-19416-A	Target	30.081	9.745		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	B04-19416-A	Target	27.924	7.589		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	B04-19416-A	Target	25.222	4.886		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	B04-19416-A	Target	35.975	15.640		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	B04-19416-A	Target	26.496	6.160		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	B04-19416-A	Target	38.204	17.868		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	B04-19416-A	Target	24.950	4.615		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	B04-19416-A	Target	32.513	12.178		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	B04-19416-A	Target	29.002	8.667		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	B04-19416-A	Target	40.000	19.664				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	B04-19416-A	Target	25.433	5.098		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	B04-19416-A	Target	28.158	7.822		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	B04-19416-A	Target	35.824	15.488		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	B04-19416-A	Target	27.226	6.890		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	B04-19416-A	Target	30.204	9.868		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	B04-19416-A	Target	40.000	19.664				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	B04-19416-A	Target	27.830	7.495		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	B04-19416-A	Target	32.849	12.514		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	B04-19416-A	Target	28.613	8.277		0.000	1.000	false	0/1	false				
27	Analyzed	hsa-miR-125b-4373148	B04-19416-A	Target	25.535	5.199		0.000	1.000	false	0/1	false				
28	Analyzed	hsa-miR-126-4395339	B04-19416-A	Target	23.583	3.247		0.000	1.000	false	0/1	false				
29	Analyzed	hsa-miR-127-3p-4373147	B04-19416-A	Target	26.676	6.341		0.000	1.000	false	0/1	false				
30	Analyzed	hsa-miR-127-5p-4395340	B04-19416-A	Target	40.000	19.664				false	0/1	false				
31	Analyzed	hsa-miR-128-4395327	B04-19416-A	Target	33.591	13.255		0.000	1.000	false	0/1	false				
32	Analyzed	hsa-miR-129-3p-4373297	B04-19416-A	Target	40.000	19.664				false	0/1	false				
33	Analyzed	hsa-miR-129-5p-4373171	B04-19416-A	Target	40.000	19.664				false	0/1	false				
34	Analyzed	hsa-miR-130a-4373145	B04-19416-A	Target	31.099	10.763		0.000	1.000	false	0/1	false				
35	Analyzed	hsa-miR-130b-4373144	B04-19416-A	Target	31.834	11.498		0.000	1.000	false	0/1	false				
36	Analyzed	hsa-miR-132-4373143	B04-19416-A	Target	26.739	6.404		0.000	1.000	false	0/1	false				
37	Analyzed	hsa-miR-133a-4395357	B04-19416-A	Target	32.656	12.321		0.000	1.000	false	0/1	false				
38	Analyzed	hsa-miR-133b-4395358	B04-19416-A	Target	38.862	18.526		0.000	1.000	false	0/1	false				
39	Analyzed	hsa-miR-134-4373299	B04-19416-A	Target	32.206	11.870		0.000	1.000	false	0/1	false				
40	Analyzed	hsa-miR-135a-4373140	B04-19416-A	Target	32.823	12.487		0.000	1.000	false	0/1	false				
41	Analyzed	hsa-miR-135b-4395372	B04-19416-A	Target	28.090	7.754		0.000	1.000	false	0/1	false				
42	Analyzed	hsa-miR-136-4373173	B04-19416-A	Target	38.788	18.452		0.000	1.000	false	0/1	false				
43	Analyzed	hsa-miR-137-4373301	B04-19416-A	Target	33.147	12.812		0.000	1.000	false	0/1	false				
44	Analyzed	hsa-miR-138-4395395	B04-19416-A	Target	30.514	10.179		0.000	1.000	false	0/1	false				
45	Analyzed	hsa-miR-139-3p-4395424	B04-19416-A	Target	40.000	19.664				false	0/1	false				
46	Analyzed	hsa-miR-139-5p-4395400	B04-19416-A	Target	30.636	10.300		0.000	1.000	false	0/1	false				
