SDS 2.3 RQ Results	1.2
Filename	141A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-141-A
Run DateTime	Mon Jul 12 13:55:44 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	CNMP-141-A	Endogenous Control	23.189					false	0/4	false				
2	Analyzed	RNU44-4373384	CNMP-141-A	Target	29.744	6.556		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	CNMP-141-A	Target	24.859	1.671		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	CNMP-141-A	Target	40.000	16.811				false	0/1	false				
5	Analyzed	has-miR-155-4395459	CNMP-141-A	Target	28.239	5.051		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	CNMP-141-A	Target	39.848	16.659		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	CNMP-141-A	Target	30.194	7.005		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	CNMP-141-A	Target	35.299	12.110		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	CNMP-141-A	Target	32.403	9.214		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	CNMP-141-A	Target	30.666	7.478		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	CNMP-141-A	Target	40.000	16.811				false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	CNMP-141-A	Target	31.282	8.093		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	CNMP-141-A	Target	40.000	16.811				false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	CNMP-141-A	Target	26.248	3.059		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	CNMP-141-A	Target	36.951	13.762		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	CNMP-141-A	Target	32.414	9.226		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	CNMP-141-A	Target	40.000	16.811				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	CNMP-141-A	Target	30.410	7.221		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	CNMP-141-A	Target	31.975	8.786		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	CNMP-141-A	Target	40.000	16.811				false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	CNMP-141-A	Target	30.345	7.156		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	CNMP-141-A	Target	40.000	16.811				false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	CNMP-141-A	Target	40.000	16.811				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	CNMP-141-A	Target	25.729	2.540		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	CNMP-141-A	Target	33.692	10.504		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	CNMP-141-A	Target	29.523	6.335		0.000	1.000	false	0/1	false				
