SDS 2.3 RQ Results	1.2
Filename	143A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-143-A
Run DateTime	Sun Jul 18 10:27:40 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	CNMP-143-A	Endogenous Control	22.070					false	0/4	false				
2	Analyzed	RNU44-4373384	CNMP-143-A	Target	25.449	3.380		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	CNMP-143-A	Target	23.392	1.323		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	CNMP-143-A	Target	40.000	17.930				false	0/1	false				
5	Analyzed	has-miR-155-4395459	CNMP-143-A	Target	27.050	4.980		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	CNMP-143-A	Target	29.645	7.575		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	CNMP-143-A	Target	24.851	2.781		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	CNMP-143-A	Target	30.755	8.685		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	CNMP-143-A	Target	28.038	5.969		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	CNMP-143-A	Target	26.612	4.543		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	CNMP-143-A	Target	38.779	16.709		0.000	1.000	false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	CNMP-143-A	Target	28.148	6.079		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	CNMP-143-A	Target	40.000	17.930				false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	CNMP-143-A	Target	27.828	5.759		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	CNMP-143-A	Target	37.564	15.494		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	CNMP-143-A	Target	28.641	6.571		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	CNMP-143-A	Target	40.000	17.930				false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	CNMP-143-A	Target	25.598	3.528		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	CNMP-143-A	Target	28.720	6.650		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	CNMP-143-A	Target	37.920	15.850		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	CNMP-143-A	Target	29.322	7.252		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	CNMP-143-A	Target	36.222	14.152		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	CNMP-143-A	Target	40.000	17.930				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	CNMP-143-A	Target	34.145	12.075		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	CNMP-143-A	Target	33.961	11.892		0.000	1.000	false	0/1	false				
26	Analyzed	hsa-miR-125a-5p-4395309	CNMP-143-A	Target	28.142	6.072		0.000	1.000	false	0/1	false				
