SDS 2.3 RQ Results	1.2
Filename	145A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-145-A
Run DateTime	Sun Jul 18 14:24:02 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
1	Analyzed	MammU6-4395470	CNMP-145-A	Endogenous Control	19.526					false	0/4	false				
2	Analyzed	RNU44-4373384	CNMP-145-A	Target	24.486	4.959		0.000	1.000	false	0/1	false				
3	Analyzed	RNU48-4373383	CNMP-145-A	Target	22.656	3.130		0.000	1.000	false	0/1	false				
4	Analyzed	ath-miR159a-4373390	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
5	Analyzed	has-miR-155-4395459	CNMP-145-A	Target	27.040	7.514		0.000	1.000	false	0/1	false				
6	Analyzed	hsa-let-7a-4373169	CNMP-145-A	Target	29.453	9.926		0.000	1.000	false	0/1	false				
7	Analyzed	hsa-let-7b-4395446	CNMP-145-A	Target	26.668	7.142		0.000	1.000	false	0/1	false				
8	Analyzed	hsa-let-7c-4373167	CNMP-145-A	Target	31.201	11.674		0.000	1.000	false	0/1	false				
9	Analyzed	hsa-let-7d-4395394	CNMP-145-A	Target	28.835	9.309		0.000	1.000	false	0/1	false				
10	Analyzed	hsa-let-7e-4395517	CNMP-145-A	Target	26.038	6.512		0.000	1.000	false	0/1	false				
11	Analyzed	hsa-let-7f-4373164	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
12	Analyzed	hsa-let-7g-4395393	CNMP-145-A	Target	27.424	7.898		0.000	1.000	false	0/1	false				
13	Analyzed	hsa-miR-1-4395333	CNMP-145-A	Target	32.204	12.678		0.000	1.000	false	0/1	false				
14	Analyzed	hsa-miR-100-4373160	CNMP-145-A	Target	27.240	7.713		0.000	1.000	false	0/1	false				
15	Analyzed	hsa-miR-101-4395364	CNMP-145-A	Target	33.993	14.466		0.000	1.000	false	0/1	false				
16	Analyzed	hsa-miR-103-4373158	CNMP-145-A	Target	28.122	8.596		0.000	1.000	false	0/1	false				
17	Analyzed	hsa-miR-105-4395278	CNMP-145-A	Target	36.756	17.229		0.000	1.000	false	0/1	false				
18	Analyzed	hsa-miR-106a-4395280	CNMP-145-A	Target	23.635	4.109		0.000	1.000	false	0/1	false				
19	Analyzed	hsa-miR-106b-4373155	CNMP-145-A	Target	28.127	8.600		0.000	1.000	false	0/1	false				
20	Analyzed	hsa-miR-107-4373154	CNMP-145-A	Target	33.725	14.199		0.000	1.000	false	0/1	false				
21	Analyzed	hsa-miR-10a-4373153	CNMP-145-A	Target	28.765	9.239		0.000	1.000	false	0/1	false				
22	Analyzed	hsa-miR-10b-4395329	CNMP-145-A	Target	35.296	15.769		0.000	1.000	false	0/1	false				
23	Analyzed	hsa-miR-122-4395356	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
24	Analyzed	hsa-miR-124-4373295	CNMP-145-A	Target	31.079	11.553		0.000	1.000	false	0/1	false				
25	Analyzed	hsa-miR-125a-3p-4395310	CNMP-145-A	Target	35.223	15.696		0.000	1.000	false	0/1	false				
